Company,FinancialPolicies
WIPRO,"Investors












Earnings Conference Call












Investor Relations
Mr. Abhishek Jain
Mr. M. Sanaulla Khan

"
ONGC,"However, mere registering of the agency with ONGC does not imply that the CSR proposals from agencies will be considered by ONGC, each CSR proposal would be dealt strictly on individual CSR proposal merit.
BIG VISION FORBIG FUTUREKnow More
TECHNOLOGY FORTHE FUTUREKnow More

24 December 2024: Trading Window Closure 31.12.2024
24 December 2024: Hiring of Experienced Professionals on fixed term engagement in ONGC Green Ltd. (OGL)
20 December 2024: Advertisement for Hiring Consultants for Civil Section, Cauvery Asset, Karaikal
18 December 2024: Advertisement for engagement of consultants for Well Services, Assam Asset
Clarification regarding the likely public listing of ONGC Green Limite...
ONGC and PowerGrid Corporation join forces to propel India's green hyd...
ONGC declares results for Q2 FY’25: Posts Net Profit of Rs 11,984 Cror...
Signing of Non-Associated Gas deal in Azeri-Chirag-Deepwater Gunashli ...
Arunangshu Sarkar joins the ONGC Board as first-ever Director (Strateg...
27,000+Total Workforce
1,12,464 millionTotal Assets
71 %Total Production
Operating in15 Countries
36.37MwTotal installed Solar Power Plant in ONGC till Jan 2023
153.9 MWTotal installed Wind Power Plant in ONGC till Jan 2023
35.4723MUTotal Solar Energy Generated by ONGC Plants in 2022-23 till Jan 2023
340.74MUof energy saved due to energy efficiency initiatives
Copyright Oil and Natural Gas Corporation Limited, All Rights Reserved.
Music gives wings to the mind, flight to the imagination... so choose yours ... to explore more on this website
Speak to search
"
SUNPHARMA,No data
TATASTEEL,No data
HCLTECH,No data
NTPC,No data
TECHM,No data
ULTRACEMCO,"
About Us
Sustainability
Investors
Careers
Media
Overview
Our Story
Leadership Team
Our Values
Sustainability
Governance
Environment
Community Development
Case Studies
Financials
Investors Centre
Corporate Governance
Useful Information
Overview
Life At UltraTech
Jobs At UltraTech
Trending
Press Releases
Stories
Press Kit

Get Answer To Your Queries
Select a valid category
Enter a valid sub category
Integrated and Sustainability Report FY24 (double page)
Notice of AGM 2024
Integrated and Sustainability Report FY24 (single page)
Subsidiary Accounts FY 24
Subsidiary Accounts FY23
Subsidiary Accounts FY22
Subsidiary Accounts FY21
Subsidiary Accounts FY20
Subsidiary Accounts 2018-19
Subsidiary Accounts 2017-18
Subsidiary Accounts 2016-17
Subsidiary Accounts 2015-16
Subsidiary Accounts 2014-15
Annual Return 2024
Annual Return 2023
Annual Return 2022
Annual Return 2022
Annual Return MGT-7
AnnualReturnMGT-72021
ESOS Annexure – Director Report 2023-24
ESOS Annexure – Directors Report 2022-23
ESOS Annexure -Directors Report-2021-22
ESOS Annexure -Directors Report-2020-21
ESOS Annexure – Directors Report 2018-19
ESOS Annexure -Directors Report-2017-18
ESOS Annexure -Directors Report-2016-17
ESOS Annexure -Directors Report-2015-16
ESOS Annexure -Directors Report-2014-15

© 2021 All Rights Reserved, UltraTech Cement Ltd."
NESTLEIND,No data
TITAN,No data
DRREDDY,
HEROMOTOCO,
